"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath"
"Mariathasan2018_PDL1_treatment","Processed RNA-seq data, quantified as counts and TPM, for bladder cancer samples pre anti-PDL1 immunotherapy. Information on patient's tumor mutational burden and response to anti-PD1 treatment is also provided. Represented as a SummarizedExperiment; derived from IMvigor210CoreBiologies R package (Mariathasan et al., Nature, 2018) under the CC-BY license.","3.14",NA,"tar.gz","http://research-pub.gene.com/IMvigor210CoreBiologies/","Feb 14 2018","Homo sapiens","9606",NA,"IMvigor210CoreBiologies package;  Mariathasan S, Turley S, Nickles D et al., “TGF-b attenuates tumor response to PD-L1 blockade by contributing to exclusion of T cells.","Oscar Lapuente-Santana <oscar.lapuente.santana@gmail.com>","SummarizedExperiment","Rda","easierData/Mariathasan2018_PDL1_treatment.rda"
"opt_models","Cancer-specifc model feature parameters learned, for each quantitative descriptor, during training using multi-task learning with randomized cross-validation repeated 100 times. For each quantitative descriptor, 1000 models are available (100 per task). ","3.14",NA,"RDA","https://www.cell.com/patterns/fulltext/S2666-3899(21)00126-4",NA,"Homo sapiens","9606",NA,NA,"Oscar Lapuente-Santana <oscar.lapuente.santana@gmail.com>","list","Rds","easierData/opt_models.rds"
"opt_xtrain_stats","Cancer-specific features mean and standard deviation of the training set used during randomized cross-validation repeated 100 times. It is required for normalization of input feautres.","3.14",NA,"RDA","https://www.cell.com/patterns/fulltext/S2666-3899(21)00126-4",NA,"Homo sapiens","9606",NA,NA,"Oscar Lapuente-Santana <oscar.lapuente.santana@gmail.com>","list","Rds","easierData/opt_xtrain_stats.rds"
"TCGA_mean_pancancer","Mean of the TPM expression of each gene across all TCGA cancer types. It is required for normalization of input TPM gene expression data.","3.14",NA,"RDA","https://www.cell.com/patterns/fulltext/S2666-3899(21)00126-4",NA,"Homo sapiens","9606",NA,NA,"Oscar Lapuente-Santana <oscar.lapuente.santana@gmail.com>","numeric","Rds","easierData/TCGA_mean_pancancer.rds"
"TCGA_sd_pancancer","Standard deviation of the TPM expression of each gene across all TCGA cancer types. It is required for normalization of input TPM gene expression data.","3.14",NA,"RDA","https://www.cell.com/patterns/fulltext/S2666-3899(21)00126-4",NA,"Homo sapiens","9606",NA,NA,"Oscar Lapuente-Santana <oscar.lapuente.santana@gmail.com>","numeric","Rds","easierData/TCGA_sd_pancancer.rds"
"cor_scores_genes","Character string with genes used to define correlated scores of immune response.","3.14",NA,"RDA","https://www.cell.com/patterns/fulltext/S2666-3899(21)00126-4",NA,"Homo sapiens","9606",NA,NA,"Oscar Lapuente-Santana <oscar.lapuente.santana@gmail.com>","character","Rds","easierData/cor_scores_genes.rds"
"intercell_networks","Cancer-specific intercellular networks, including a pan-cancer network.","3.14",NA,"RDA","https://www.cell.com/patterns/fulltext/S2666-3899(21)00126-4",NA,"Homo sapiens","9606",NA,NA,"Oscar Lapuente-Santana <oscar.lapuente.santana@gmail.com>","list","Rds","easierData/intercell_networks.rds"
"lr_frequency_TCGA","Frequency of each ligand-receptor pair feature across the whole TCGA database.","3.14",NA,"RDA","https://www.cell.com/patterns/fulltext/S2666-3899(21)00126-4",NA,"Homo sapiens","9606",NA,NA,"Oscar Lapuente-Santana <oscar.lapuente.santana@gmail.com>","numeric","Rds","easierData/lr_frequency_TCGA.rds"
"group_lrpairs","Information to group ligand-receptor pairs because of sharing the same gene either as ligand or receptor.","3.14",NA,"RDA","https://www.cell.com/patterns/fulltext/S2666-3899(21)00126-4",NA,"Homo sapiens","9606",NA,NA,"Oscar Lapuente-Santana <oscar.lapuente.santana@gmail.com>","list","Rds","easierData/group_lrpairs.rds"
"HGNC_annotation","Gene symbols approved annotations.","3.14",NA,"CSV","https://www.genenames.org/download/custom/",NA,"Homo sapiens","9606",NA,NA,"Oscar Lapuente-Santana <oscar.lapuente.santana@gmail.com>","data.frame","Rds","easierData/HGNC_annotation.rds"
"scores_signature_genes","Gene signatures for each score of immune response: CYT, TLS, IFNy, Ayers_expIS, Tcell_inflamed, Roh_IS, Davoli_IS, chemokines, IMPRES, MSI, RIR.","3.14",NA,"RDA","https://www.cell.com/patterns/fulltext/S2666-3899(21)00126-4",NA,"Homo sapiens","9606",NA,NA,"Oscar Lapuente-Santana <oscar.lapuente.santana@gmail.com>","list","Rds","easierData/scores_signature_genes.rds"
